"filename", "language", "JavaScript", "JSON with Comments", "TypeScript", "JSON", "XML", "Markdown", "Properties", "TypeScript JSX", "Ignore", "CSS", "Java", "comment", "blank", "total"
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg-export-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 18, 29, 321
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg-preview-modal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 12, 16, 227
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg-preview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 4, 11, 72
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg-showcase.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 0, 3, 11, 120
"h:\cursor\for_fun\genarate-svg - vercel\src\components\svg\editor\CodeEditor.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"h:\cursor\for_fun\genarate-svg - vercel\src\components\theme-provider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 2, 18
"h:\cursor\for_fun\genarate-svg - vercel\src\components\theme-toggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 14, 138
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 7, 60
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 6, 50
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 6, 57
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 9, 80
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 5, 31
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\custom-alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 4, 35
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 13, 122
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 18, 200
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 4, 23
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\modal-alert.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 4, 7, 101
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\pagination.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 10, 121
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\popover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 6, 45
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\scroll-area.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 5, 48
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 109, 0, 0, 0, 0, 12, 121
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 4, 31
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"h:\cursor\for_fun\genarate-svg - vercel\src\components\ui\slider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 4, 28
